[13:22:24] Using the in-memory credential store as the operating system's credential store could not be accessed. Please see https://aka.ms/vscode-server-keyring on how to set this up. Details: libsecret-1.so.0: cannot open shared object file: No such file or directory
[13:30:21] [File Watcher (node.js)] Watcher shutdown because watched path got deleted
[2023-01-10T08:01:15.349Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:07:15.499Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:08:15.501Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:09:15.504Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:10:15.506Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:11:15.508Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:12:15.511Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:13:15.513Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:14:15.516Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:15:15.519Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:16:15.521Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:17:15.522Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:18:15.523Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:19:15.525Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:20:15.528Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:21:15.530Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:22:15.531Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:23:15.534Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:24:15.537Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:25:15.540Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:26:15.542Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:27:15.545Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:28:15.548Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:29:15.550Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:30:15.552Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:31:15.555Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:32:15.557Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:33:15.559Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:34:15.562Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:35:15.565Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:36:15.568Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:37:15.570Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:38:15.572Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:39:15.574Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:40:15.576Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:41:15.577Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:42:15.579Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:43:15.582Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:44:15.584Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:45:15.586Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:46:15.589Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:47:15.592Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:48:15.595Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:49:15.596Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:50:15.599Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:51:15.601Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:52:15.604Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:53:15.606Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:54:15.609Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:55:15.611Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:56:15.612Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:57:15.614Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:58:15.617Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T09:59:15.620Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:00:15.621Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:01:15.623Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:02:15.625Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:03:15.628Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:04:15.630Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:05:15.633Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:06:15.634Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:07:15.637Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:08:15.640Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:09:15.641Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:10:15.643Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:11:15.644Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:12:15.646Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:13:15.649Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:14:15.651Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:15:15.654Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:16:15.656Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:17:15.660Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:18:15.662Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:19:15.664Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:20:15.670Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:21:15.672Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:22:15.674Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:23:15.676Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
[2023-01-10T10:24:15.678Z] warn  EACCES: permission denied, open '/config/.local/share/code-server/heartbeat'
